algorithm,matrix_size,avg_execution_time_micros,std_execution_time_micros,avg_TFLOP_s,std_TFLOP_s
3-Stage Pipeline Grid Swizzle,1024,24.916991710662842,0.7411578157549843,86.25209581903057,2.487554013171783
3-Stage Pipeline Grid Swizzle,2048,118.74816131591797,3.3514318006886046,144.7771591092672,4.029422275726803
3-Stage Pipeline Grid Swizzle,4096,711.1301116943359,9.702532528067676,193.3011226056992,2.6680636100020116
3-Stage Pipeline Grid Swizzle,8192,5228.87890625,29.747482274633082,210.28280029787055,1.1829738750612682
CuTe tensorop_gemm Example,1024,33.43359994888306,1.7588769091330139,64.39104464220347,3.3803150949106615
CuTe tensorop_gemm Example,2048,126.54489612579346,2.632821249971885,135.81370429397805,2.8116463928684516
CuTe tensorop_gemm Example,4096,624.2928657531738,55.68383425482465,221.56277575399244,17.584821213617726
CuTe tensorop_gemm Example,8192,4659.584014892578,132.53837152563622,236.13950439364004,6.7109865081733275
PyTorch,1024,23.567360401153564,0.031376275410714576,91.12123847597613,0.12108819821103789
PyTorch,2048,133.77536010742188,1.8848951301757495,128.44603819790757,1.7955399248406105
PyTorch,4096,613.4476776123047,21.205744310443787,224.29559495034414,8.106881083762433
PyTorch,8192,4111.240203857422,10.679498172081813,267.4419993071056,0.6941654005311826
